,precision,recall,f1-score,support
False,0.5916114790286976,0.44666666666666666,0.5090218423551757,600.0
True,0.6829035339063992,0.7944444444444444,0.7344632768361582,900.0
accuracy,0.6553333333333333,0.6553333333333333,0.6553333333333333,0.6553333333333333
macro avg,0.6372575064675484,0.6205555555555555,0.6217425595956669,1500.0
weighted avg,0.6463867119553186,0.6553333333333333,0.6442867030437652,1500.0
