Metric,Value
R²,0.10872837064419982
MSE,0.18038553789228165
RMSE,0.42471818643929254
MAE,0.38960059551939463
Explained Variance,0.11241891350791156
Accuracy (±0.1),0.017333333333333333
Accuracy (±0.05),0.004666666666666667
