Metric,Value
R²,0.19546900959288038
MSE,0.16282999556542985
RMSE,0.4035219889490904
MAE,0.356440673917532
Explained Variance,0.19845757227692473
Accuracy (±0.1),0.10266666666666667
Accuracy (±0.05),0.0
