feature,importance
feature_29,0.11892598
feature_18,0.06678715
feature_4,0.060988627
feature_10,0.05805137
feature_9,0.05718643
feature_6,0.05442803
feature_12,0.043899775
feature_13,0.04109073
feature_21,0.034033537
feature_14,0.0311957
feature_25,0.031134972
feature_28,0.02856424
feature_20,0.027629368
feature_31,0.027277699
feature_19,0.025072357
feature_16,0.02471157
feature_15,0.024355143
feature_22,0.023922406
feature_24,0.02309001
feature_30,0.021857552
feature_27,0.019224843
feature_17,0.018789358
feature_23,0.016413882
feature_1,0.011922328
feature_8,0.011799977
feature_5,0.011666576
feature_26,0.008745096
feature_11,0.004527494
feature_137,0.0036951755
feature_3,0.0034464716
feature_89,0.003064244
feature_7,0.0029458045
feature_49,0.0024106672
feature_48,0.0021358316
feature_32,0.0016862825
feature_33,0.0016085489
feature_75,0.0014622231
feature_46,0.001366999
feature_108,0.0011732061
feature_91,0.0010931778
feature_69,0.0009914364
feature_128,0.0009369194
feature_119,0.0008847434
feature_120,0.0008457416
feature_110,0.0008309483
feature_107,0.0007612175
feature_68,0.00074364
feature_2,0.0007419887
feature_56,0.00069021346
feature_127,0.00067725626
feature_130,0.0006437335
feature_111,0.00062276016
feature_80,0.00060320966
feature_40,0.0006024076
feature_50,0.00058786565
feature_73,0.0005764869
feature_51,0.0005694719
feature_38,0.0005689774
feature_70,0.00056796125
feature_65,0.00056408596
feature_0,0.0005629956
feature_134,0.0005570205
feature_102,0.0005503371
feature_142,0.0005475319
feature_136,0.00053754996
feature_66,0.0005272438
feature_125,0.00052026846
feature_86,0.0005169774
feature_135,0.0005164358
feature_133,0.0005163895
feature_131,0.00051535177
feature_88,0.000514866
feature_67,0.00051398843
feature_99,0.0005130618
feature_101,0.0005045191
feature_96,0.0005040184
feature_126,0.0004998936
feature_98,0.0004913363
feature_139,0.000490701
feature_63,0.0004887212
feature_105,0.00048783093
feature_115,0.00048488562
feature_52,0.0004835823
feature_61,0.00047657327
feature_44,0.0004745703
feature_39,0.00047426566
feature_106,0.00047301495
feature_143,0.00046115048
feature_117,0.0004574899
feature_121,0.00045731157
feature_72,0.00045595702
feature_85,0.00044955517
feature_144,0.0004491213
feature_79,0.0004435937
feature_129,0.00044110365
feature_138,0.00043935934
feature_97,0.00043663822
feature_55,0.0004298992
feature_83,0.00042403536
feature_92,0.00042364828
feature_141,0.00042019805
feature_53,0.00041446125
feature_62,0.0004104304
feature_76,0.00040181482
feature_132,0.000401421
feature_60,0.00039970258
feature_109,0.0003926871
feature_34,0.00039109553
feature_54,0.00038410397
feature_122,0.0003789931
feature_90,0.00037226646
feature_36,0.00036128372
feature_84,0.0003599374
feature_64,0.00035209712
feature_116,0.00035133946
feature_123,0.00035051198
feature_93,0.00034854902
feature_71,0.0003456188
feature_100,0.00034418458
feature_43,0.00034191774
feature_113,0.00033818049
feature_118,0.00032846793
feature_140,0.00032515457
feature_45,0.00030974307
feature_74,0.0003084466
feature_103,0.00030012298
feature_47,0.00029197728
feature_59,0.00029097262
feature_87,0.00028654526
feature_112,0.00028642832
feature_114,0.00028594278
feature_94,0.00028029003
feature_95,0.00027396722
feature_104,0.00027176124
feature_37,0.00025215483
feature_81,0.00023554594
feature_57,0.00022350809
feature_35,0.0002177856
feature_58,0.0001663682
feature_82,0.00015358551
feature_124,0.0001457574
feature_77,0.0
feature_78,0.0
feature_41,0.0
feature_42,0.0
