feature,importance
feature_0,0.3068993455332322
feature_2,0.10903417872353201
feature_26,0.05944431962712369
feature_18,0.05293564111731987
feature_32,0.049395463284144736
feature_23,0.046906984175583005
feature_33,0.037326710080456384
feature_29,0.036175835193101934
feature_12,0.026206788700675773
feature_6,0.025615019136377374
feature_13,0.022556818205801472
feature_21,0.02110521983477055
feature_25,0.01818799880997311
feature_4,0.01654221914651081
feature_143,0.015513608693415597
feature_144,0.014092061036102768
feature_20,0.01358198393632717
feature_9,0.013217720969223318
feature_14,0.010310130030013657
feature_28,0.009168932005693024
feature_19,0.008061128121694981
feature_16,0.005391128047663722
feature_31,0.005189382287881277
feature_10,0.004914947055689928
feature_17,0.004597010390023735
feature_22,0.004515581615539836
feature_15,0.004080390935895859
feature_30,0.00400485896216098
feature_24,0.003063804082113204
feature_27,0.0024868255796717652
feature_66,0.0019608197617527177
feature_7,0.0017743645011101085
feature_11,0.0017385674416846015
feature_3,0.0015164962082048138
feature_39,0.0014740497468668228
feature_105,0.0014479770655344277
feature_136,0.0013490619071907925
feature_70,0.0013266908657163026
feature_49,0.001300866267759905
feature_106,0.0012609877378182948
feature_67,0.001223553861068168
feature_135,0.001197131968538901
feature_130,0.0010941740981628323
feature_89,0.0010884143164021
feature_50,0.0008378913831150595
feature_127,0.0008353030453228176
feature_91,0.0008114454810953689
feature_38,0.0007446247491818064
feature_137,0.0007425897236687117
feature_75,0.0006963445342941843
feature_98,0.0006701183539135132
feature_5,0.0006657660437591852
feature_63,0.000635493771824085
feature_64,0.000635190753326923
feature_65,0.0006236601902860223
feature_61,0.0006232097720209326
feature_60,0.0006209100169593464
feature_48,0.0006095539274353821
feature_141,0.0005779064561950056
feature_138,0.0005537095145199173
feature_140,0.0005447156500480297
feature_96,0.0005301602575357694
feature_40,0.0005039885078504331
feature_55,0.0005020698032417672
feature_52,0.0004941347352936047
feature_129,0.0004919218892726275
feature_69,0.00047882805731107737
feature_132,0.00047749338517629825
feature_1,0.00045253966355337735
feature_90,0.00044391559959320307
feature_142,0.00043369262505529285
feature_107,0.000432808736252139
feature_139,0.0004281997224415818
feature_97,0.0004281943390478331
feature_109,0.00040402981978887614
feature_51,0.0003876677324438806
feature_128,0.0003737872410944283
feature_119,0.000366141739775811
feature_73,0.000345885968385028
feature_111,0.0003435529063086504
feature_134,0.000314088579122034
feature_121,0.0003104637996859895
feature_110,0.00030689507305810254
feature_120,0.00030048538396894883
feature_102,0.0002864728869160966
feature_115,0.00028382141618432725
feature_84,0.0002720758323224211
feature_34,0.0002606847520628146
feature_35,0.00024290930196762018
feature_112,0.00024104685356451293
feature_104,0.00023947824622882425
feature_118,0.00022675523187497704
feature_125,0.00021975783938536138
feature_131,0.00021630764631236363
feature_56,0.000212043773348902
feature_85,0.00021151444159989095
feature_46,0.00020139847386423215
feature_133,0.00020108070628970434
feature_36,0.000199941705121551
feature_126,0.00019117123508819068
feature_76,0.00018667896671077457
feature_43,0.00018540757994883503
feature_95,0.00018233472476080314
feature_53,0.00018033709892748996
feature_100,0.0001764892808634345
feature_72,0.00017519946390671194
feature_113,0.00017410138275333133
feature_62,0.00017223270464057565
feature_99,0.00016971730038167301
feature_71,0.0001692216195775337
feature_101,0.0001643088065397024
feature_8,0.00016298242803505832
feature_47,0.00016253530466822633
feature_117,0.00016239271234202087
feature_42,0.00015660958902499064
feature_82,0.00014774762088786802
feature_79,0.0001462815633036347
feature_92,0.00014197579988045058
feature_45,0.00013715322367000466
feature_44,0.00012933674863841528
feature_68,0.0001288252093059906
feature_77,0.0001287925897578395
feature_86,0.00012298220009058217
feature_54,0.00011876067952774836
feature_108,0.0001137801306413417
feature_114,0.0001110572061227948
feature_81,0.00011030105981655485
feature_103,9.592916755580974e-05
feature_58,9.113534229037015e-05
feature_78,9.017945409401741e-05
feature_94,8.867661240187867e-05
feature_57,8.624836365291952e-05
feature_74,7.669298231280884e-05
feature_123,7.304847033029912e-05
feature_37,6.523971037641156e-05
feature_93,5.77091270879147e-05
feature_122,5.626453742652239e-05
feature_59,5.241737195330497e-05
feature_87,3.696414301801252e-05
feature_80,2.7039153279766273e-05
feature_83,9.257802724374792e-06
feature_88,6.154546767629028e-06
feature_41,4.423072668027725e-06
feature_116,3.8999244123125075e-06
feature_124,1.4688304379675448e-07
